
---------- Begin Simulation Statistics ----------
simSeconds                                   0.479300                       # Number of seconds simulated (Second)
simTicks                                 479299982000                       # Number of ticks simulated (Tick)
finalTick                                479299982000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    707.80                       # Real time elapsed on the host (Second)
hostTickRate                                677164307                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1217176                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      147880382                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141282                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     208928                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        479299983                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.793000                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.208638                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       148098543                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      148005609                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    480                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               218089                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            426557                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           479252551                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.308826                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.826073                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 395521144     82.53%     82.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  53897350     11.25%     93.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6675430      1.39%     95.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14183320      2.96%     98.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6718878      1.40%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2222096      0.46%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     22820      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7577      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3936      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             479252551                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4612      0.14%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.14% # attempts to use FU when none available (Count)
