run_dir,run_folder,cpu,predictor,workload,stats_path,sim_seconds_key,sim_seconds,sim_ticks_key,sim_ticks,sim_insts_key,sim_insts,ipc_key,ipc,IPC_calc,branch_lookups_key,branch_lookups,branch_committed_key,branch_committed,branch_mispredicted_key,branch_mispredicted,branch_mispredict_due_predictor_key,branch_mispredict_due_predictor,mispred_rate_committed,mispred_rate_lookup,mispred_per_kinst
Stats_BP/O3CPU_BiModeBP_mm,O3CPU_BiModeBP_mm,O3CPU,BiModeBP,mm,Stats_BP/O3CPU_BiModeBP_mm/stats.txt,simSeconds,0.479341,simTicks,479340817000.0,simInsts,100000001.0,system.cpu.ipc,0.20862,0.20862,system.cpu.branchPred.lookups_0::total,3699914.0,system.cpu.branchPred.committed_0::total,3663394.0,system.cpu.branchPred.mispredicted_0::total,9651.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,8634.0,0.0026344422685629773,0.002608439006960702,0.09650999903490001
Stats_BP/O3CPU_TAGE_fft.1,O3CPU_TAGE_fft.1,O3CPU,TAGE,fft.1,Stats_BP/O3CPU_TAGE_fft.1/stats.txt,simSeconds,0.000741,simTicks,740662000.0,simInsts,1428746.0,system.cpu.ipc,1.92901,1.92901,system.cpu.branchPred.lookups_0::total,152580.0,system.cpu.branchPred.committed_0::total,148293.0,system.cpu.branchPred.mispredicted_0::total,1287.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,614.0,0.008678764338168356,0.008434919386551318,0.9007899234713518
Stats_BP/O3CPU_LTAGE_fft.1,O3CPU_LTAGE_fft.1,O3CPU,LTAGE,fft.1,Stats_BP/O3CPU_LTAGE_fft.1/stats.txt,simSeconds,0.00074,simTicks,739701000.0,simInsts,1428746.0,system.cpu.ipc,1.931516,1.931516,system.cpu.branchPred.lookups_0::total,152450.0,system.cpu.branchPred.committed_0::total,148293.0,system.cpu.branchPred.mispredicted_0::total,1239.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,565.0,0.00835508081972851,0.00812725483765169,0.8671940288896697
Stats_BP/O3CPU_LocalBP_fft.1,O3CPU_LocalBP_fft.1,O3CPU,LocalBP,fft.1,Stats_BP/O3CPU_LocalBP_fft.1/stats.txt,simSeconds,0.00081,simTicks,810298000.0,simInsts,1428746.0,system.cpu.ipc,1.763233,1.763233,system.cpu.branchPred.lookups_0::total,163508.0,system.cpu.branchPred.committed_0::total,148293.0,system.cpu.branchPred.mispredicted_0::total,6984.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,6307.0,0.04709595193299751,0.04271350637277687,4.888202661634748
Stats_BP/O3CPU_LTAGE_mm,O3CPU_LTAGE_mm,O3CPU,LTAGE,mm,Stats_BP/O3CPU_LTAGE_mm/stats.txt,simSeconds,0.4793,simTicks,479299982000.0,simInsts,100000001.0,system.cpu.ipc,0.208638,0.208638,system.cpu.branchPred.lookups_0::total,3682745.0,system.cpu.branchPred.committed_0::total,3663394.0,system.cpu.branchPred.mispredicted_0::total,3681.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,2653.0,0.0010048059258709273,0.000999526168659519,0.0368099996319
Stats_BP/O3CPU_BiModeBP_fft.1,O3CPU_BiModeBP_fft.1,O3CPU,BiModeBP,fft.1,Stats_BP/O3CPU_BiModeBP_fft.1/stats.txt,simSeconds,0.000782,simTicks,781997000.0,simInsts,1428746.0,system.cpu.ipc,1.827046,1.827046,system.cpu.branchPred.lookups_0::total,161881.0,system.cpu.branchPred.committed_0::total,148293.0,system.cpu.branchPred.mispredicted_0::total,4896.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,4226.0,0.033015718880864235,0.03024443881616743,3.4267812473315757
Stats_BP/O3CPU_PerceptronBP_fft.1,O3CPU_PerceptronBP_fft.1,O3CPU,PerceptronBP,fft.1,Stats_BP/O3CPU_PerceptronBP_fft.1/stats.txt,simSeconds,0.00081,simTicks,810298000.0,simInsts,1428746.0,system.cpu.ipc,1.763233,1.763233,system.cpu.branchPred.lookups_0::total,163508.0,system.cpu.branchPred.committed_0::total,148293.0,system.cpu.branchPred.mispredicted_0::total,6984.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,6307.0,0.04709595193299751,0.04271350637277687,4.888202661634748
Stats_BP/O3CPU_LTAGE_branchy_test,O3CPU_LTAGE_branchy_test,O3CPU,LTAGE,branchy_test,Stats_BP/O3CPU_LTAGE_branchy_test/stats.txt,simSeconds,0.1801,simTicks,180100231000.0,simInsts,100000000.0,system.cpu.ipc,0.555246,0.555246,system.cpu.branchPred.lookups_0::total,54274085.0,system.cpu.branchPred.committed_0::total,23182658.0,system.cpu.branchPred.mispredicted_0::total,675241.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,674208.0,0.029126987940727073,0.012441315224383792,6.75241
Stats_BP/O3CPU_LocalBP_mm,O3CPU_LocalBP_mm,O3CPU,LocalBP,mm,Stats_BP/O3CPU_LocalBP_mm/stats.txt,simSeconds,0.479278,simTicks,479278289000.0,simInsts,100000001.0,system.cpu.ipc,0.208647,0.208647,system.cpu.branchPred.lookups_0::total,3697753.0,system.cpu.branchPred.committed_0::total,3663394.0,system.cpu.branchPred.mispredicted_0::total,9032.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,8003.0,0.0024654732742369506,0.0024425644438663156,0.09031999909680001
Stats_BP/O3CPU_TAGE_branchy_test,O3CPU_TAGE_branchy_test,O3CPU,TAGE,branchy_test,Stats_BP/O3CPU_TAGE_branchy_test/stats.txt,simSeconds,0.180078,simTicks,180077930000.0,simInsts,100000000.0,system.cpu.ipc,0.555315,0.555315,system.cpu.branchPred.lookups_0::total,54257890.0,system.cpu.branchPred.committed_0::total,23182658.0,system.cpu.branchPred.mispredicted_0::total,673748.0,system.cpu.branchPred.mispredictDueToPredictor_0::total,672720.0,0.029062586352263834,0.012417511996872714,6.73748
